docket_id,engine_off_section_id,engine_off_start,engine_off_end,engine_off_duration_minutes
Cemex--1026180156,350.0,2024-11-20 07:58:50+00:00,2024-11-20 07:59:10+00:00,0.3333333333333333
Cemex--1026180764,271.0,2024-11-20 08:12:23+00:00,2024-11-20 08:12:54+00:00,0.5166666666666667
Cemex--1026180923,602.0,2024-11-20 07:52:14+00:00,2024-11-20 07:55:23+00:00,3.15
Cemex--1026181294,245.0,2024-11-20 08:06:56+00:00,2024-11-20 08:10:06+00:00,3.1666666666666665
Cemex--1026183063,236.0,2024-11-20 08:58:20+00:00,2024-11-20 09:05:12+00:00,6.866666666666666
Cemex--1026183679,523.0,2024-11-20 10:57:50+00:00,2024-11-20 11:03:31+00:00,5.683333333333334
Cemex--1026184151,334.0,2024-11-20 09:23:04+00:00,2024-11-20 09:26:55+00:00,3.85
Cemex--1026184276,369.0,2024-11-20 14:07:04+00:00,2024-11-20 14:12:15+00:00,5.183333333333334
Cemex--1026184661,540.0,2024-11-20 10:40:47+00:00,2024-11-20 10:47:18+00:00,6.516666666666667
Cemex--1026184912,398.0,2024-11-20 10:45:53+00:00,2024-11-20 10:47:43+00:00,1.8333333333333333
Cemex--1026184912,399.0,2024-11-20 10:48:24+00:00,2024-11-20 11:22:40+00:00,34.266666666666666
Cemex--1026185029,359.0,2024-11-20 11:07:06+00:00,2024-11-20 11:07:06+00:00,0.0
Cemex--1026185507,396.0,2024-11-20 10:22:57+00:00,2024-11-20 10:28:39+00:00,5.7
Cemex--1026185571,243.0,2024-11-20 09:42:42+00:00,2024-11-20 09:44:03+00:00,1.35
Cemex--1026185736,221.0,2024-11-20 10:45:15+00:00,2024-11-20 10:46:36+00:00,1.35
Cemex--1026185895,246.0,2024-11-20 09:55:36+00:00,2024-11-20 09:55:46+00:00,0.16666666666666666
Cemex--1026186263,363.0,2024-11-20 10:50:30+00:00,2024-11-20 10:52:21+00:00,1.85
Cemex--1026186497,260.0,2024-11-20 10:40:42+00:00,2024-11-20 10:41:02+00:00,0.3333333333333333
Cemex--1026186497,261.0,2024-11-20 10:42:22+00:00,2024-11-20 10:48:44+00:00,6.366666666666666
Cemex--1026186882,394.0,2024-11-20 12:23:57+00:00,2024-11-20 12:45:41+00:00,21.733333333333334
