"truck_id","valid_from","calibration_id","config","device_imei","drum_volume","extra_info","foo","gearbox_ratio","imsi","motor_displacement_cm3","port_a_offset_volts","port_b_offset_volts","pressure_sensor_offset_volts","pressure_sensor_range_bar","pressure_sensor_range_volts","project","registration","rmc_provider","serial_no","vin"
"251","2025-01-29 10:54:11.635","","{""charging_direction"":{""S"":""counter_clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""rear""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""starboard""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""{\""manufacturer\"": \""Armec\"", \""model\"": \""PHY 120\""}""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""10""},""is_charging_clockwise"":{""BOOL"":false},""gearbox_ratio"":{""N"":""120""},""hydraulic_motor_displacement_cc"":{""N"":""90""},""is_pressure_b_insulated"":{""BOOL"":false},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","356129320196170","","","","","","","","","","","","","GR863HT","Holcim","20300454","null"
"187","2024-12-02 16:58:19.401","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""port""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""McPhee\\\"", \\\""model\\\"": \\\""8 / 9 m3\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""131""},""hydraulic_motor_displacement_cc"":{""N"":""120.3""},""is_pressure_b_insulated"":{""BOOL"":false},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","359206105981047","8","","bar","120.3","","89","","","","","","","RX14TCV","Cemex","20300118",""
"154","2024-12-02 16:06:47.308","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""port""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""McPhee\\\"", \\\""model\\\"": \\\""8 / 9 m3\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""120.3""},""hydraulic_motor_displacement_cc"":{""N"":""89.1""},""is_pressure_b_insulated"":{""BOOL"":false},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","359206100851666","8","","bar","120.3","","89.1","","","","","","","EG66NTJ","Cemex","20300026",""
"512","2025-01-24 18:08:15.766","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""starboard""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""Stetter\\\"", \\\""model\\\"": \\\""AM 8 FHC LL\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""7.8""},""hydraulic_motor_displacement_cc"":{""N"":""1120""},""is_pressure_b_insulated"":{""BOOL"":true},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","356129320140301","","","","","","","","","","","","","GJ67RZC","London-Concrete","20300578","null"
"286","2025-01-06 10:12:33.315","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""port""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""{\""manufacturer\"": \""HYMIX\"", \""model\"": \""8 / 9 m3\""}""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""120.3""},""hydraulic_motor_displacement_cc"":{""N"":""75""},""is_pressure_b_insulated"":{""BOOL"":false},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","356129320102244","","","","","","","","","","","","","KX18KKF","Cemex","20300572","null"
"361","2024-12-02 16:55:07.102","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""starboard""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""McPhee\\\"", \\\""model\\\"": \\\""8 / 9 m3\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""120.3""},""hydraulic_motor_displacement_cc"":{""N"":""89.1""},""is_pressure_b_insulated"":{""BOOL"":true},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","352247631513570","","","","","","","","","","","","","RK69DZE","Cemex","20300315","null"
"380","2024-12-11 08:53:02.801","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""port""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""McPhee\\\"", \\\""model\\\"": \\\""8 / 9 m3\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""120.3""},""hydraulic_motor_displacement_cc"":{""N"":""89.1""},""is_pressure_b_insulated"":{""BOOL"":true},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","352247631599660","","","bar","","","","","","","","","","RK69DZM","Cemex","20300370","null"
"526","2025-01-22 13:51:16.379","","{""charging_direction"":{""S"":""counter_clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""rear""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""starboard""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""CIFA\\\"", \\\""model\\\"": \\\""SLX 10\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""10""},""is_charging_clockwise"":{""BOOL"":false},""gearbox_ratio"":{""N"":""131""},""hydraulic_motor_displacement_cc"":{""N"":""90""},""is_pressure_b_insulated"":{""BOOL"":true},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","359206105968580","","","","","","","","","","","","","F003","Holcim","20300719","null"
"401","2024-12-02 16:17:31.614","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""pedestal""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""port""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""McPhee\\\"", \\\""model\\\"": \\\""8 / 9 m3\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""120.3""},""hydraulic_motor_displacement_cc"":{""N"":""89.1""},""is_pressure_b_insulated"":{""BOOL"":true},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","356129320257618","","","bar","","","","","","","","","","KX18KJJ","Cemex","20300440","null"
"184","2025-01-15 10:05:36.472","","{""charging_direction"":{""S"":""clockwise""},""operations"":{""M"":{""cb_mounting_location"":{""S"":""front""},""is_dm_fitted"":{""BOOL"":true},""maintenance_status"":{""S"":""""},""is_dm_temperature_fault"":{""BOOL"":false},""is_dm_fault"":{""BOOL"":false},""is_fm_fault"":{""BOOL"":false},""is_cb_fault"":{""BOOL"":false},""cb_mounting_direction"":{""S"":""port""},""is_fm_fitted"":{""BOOL"":true}}},""globalConfig"":{""M"":{""is_virtual"":{""BOOL"":false},""is_off_the_road"":{""BOOL"":false},""no_consistence"":{""BOOL"":false},""is_whitelisted"":{""BOOL"":true},""no_consistence_description"":{""S"":""""},""misc"":{""S"":""\""{\\\""manufacturer\\\"": \\\""CIFA\\\"", \\\""model\\\"": \\\""SLX 8\\\""}\""""},""rpm_sensor"":{""S"":""temp_sensor""}}},""physical"":{""M"":{""drum_volume_m3"":{""N"":""8""},""is_charging_clockwise"":{""BOOL"":true},""gearbox_ratio"":{""N"":""120.3""},""hydraulic_motor_displacement_cc"":{""N"":""90""},""is_pressure_b_insulated"":{""BOOL"":true},""is_pressure_id1_charging"":{""BOOL"":true}}},""rpm"":{""S"":""temp_sensor""}}","359206100061480","8","","bar","120.3","","90","0.21802","0.224483333","0.5","500","4","","RK71FNJ","Cemex","20300044","null"
