@timestamp,docket_id,docket_rmc,truck_registration,docket_plant_code,docket_datetime_batch_utc,volume_delivered,docket_jobsite_description,detail_docket_consistence_class,detail_docket_consistence_class_min,detail_docket_consistence_class_max,detail_docket_consistence_target,detail_docket_consistence_lower_limit_composite,detail_docket_consistence_upper_limit_composite
2025-01-14 07:27:20.000,London-Concrete--41222442,London-Concrete,GN17VMG,BWL,2025-01-14T16:30:00.000Z,7.5,"1 NORTH QUAY, ASPEN WAY",S4,160,210,0,150,220
2025-01-14 07:39:19.000,London-Concrete--41222647,London-Concrete,WU19HYJ,BWL,2025-01-14T07:38:33.089Z,7.5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 08:09:21.000,London-Concrete--41222647,London-Concrete,WU19HYJ,BWL,2025-01-14T07:49:00.000Z,7.5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 08:09:24.000,London-Concrete--41222721,London-Concrete,WU19HZV,BWL,2025-01-14T08:09:06.098Z,8,TROUBADOR THEATRE - WOOD WHARF,S4,160,210,0,150,220
2025-01-14 08:09:26.000,London-Concrete--41222647,London-Concrete,WU19HYJ,BWL,2025-01-14T07:38:33.089Z,7.5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 08:11:18.000,London-Concrete--41222726,London-Concrete,RE67BVT,HNL,2025-01-14T08:10:45.704Z,7.5,CHALTON STREET -CAMDEN,S3,100,150,0,90,160
2025-01-14 08:25:19.000,London-Concrete--41222766,London-Concrete,WU64AUA,HNL,2025-01-14T08:25:07.563Z,7.5,ST ANN'S ROAD - N15,S1,10,40,0,0,50
2025-01-14 08:25:20.000,London-Concrete--41222726,London-Concrete,RE67BVT,HNL,2025-01-14T08:13:00.000Z,7.5,CHALTON STREET -CAMDEN,S3,100,150,0,90,160
2025-01-14 08:26:19.000,London-Concrete--41222770,London-Concrete,WU64AUA,HNL,2025-01-14T08:26:10.674Z,6.5,30 FALKLAND ROAD-KENTISH TOWN,S3,100,150,0,90,160
2025-01-14 08:31:19.000,London-Concrete--41222784,London-Concrete,EK19VBC,BWL,2025-01-14T08:31:02.678Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 08:33:21.000,London-Concrete--41222790,London-Concrete,KT15AAZ,HNL,2025-01-14T08:33:11.000Z,7.5,ST ANN'S ROAD - N15,S1,10,40,0,0,50
2025-01-14 08:43:18.000,London-Concrete--41222770,London-Concrete,WU64AUA,HNL,2025-01-14T08:28:00.000Z,6.5,30 FALKLAND ROAD-KENTISH TOWN,S3,100,150,0,90,160
2025-01-14 08:53:19.000,London-Concrete--41222784,London-Concrete,EK19VBC,BWL,2025-01-14T08:43:00.000Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 09:08:21.000,London-Concrete--41222790,London-Concrete,KT15AAZ,HNL,2025-01-14T08:39:00.000Z,7.5,ST ANN'S ROAD - N15,S1,10,40,0,0,50
2025-01-14 09:11:19.000,London-Concrete--41222893,London-Concrete,EK19VBB,BWL,2025-01-14T09:11:01.804Z,5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 09:13:18.000,London-Concrete--41222647,London-Concrete,WU19HYJ,BWL,2025-01-14T07:49:00.000Z,7.5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 09:24:20.000,London-Concrete--41222893,London-Concrete,EK19VBB,BWL,2025-01-14T09:21:00.000Z,5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 09:36:20.000,London-Concrete--41222972,London-Concrete,WU72CME,BWL,2025-01-14T09:36:13.533Z,5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 09:46:20.000,London-Concrete--41223003,London-Concrete,WU64ATY,BWL,2025-01-14T09:45:23.827Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-14 09:46:22.000,London-Concrete--41222972,London-Concrete,WU72CME,BWL,2025-01-14T09:47:00.000Z,5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-14 09:47:20.000,London-Concrete--41222726,London-Concrete,RE67BVT,HNL,2025-01-14T08:13:00.000Z,7.5,CHALTON STREET -CAMDEN,S3,100,150,0,90,160
2025-01-14 09:47:22.000,London-Concrete--41222726,London-Concrete,RE67BVT,HNL,2025-01-14T08:13:00.000Z,7.5,CHALTON STREET -CAMDEN,S3,100,150,0,90,160
2025-01-14 09:50:20.000,London-Concrete--41223017,London-Concrete,KX16FOF,BWL,2025-01-14T09:49:30.596Z,7,ALDERMANBURY SQUARE - EC2,SF2,660,750,0,660,750
2025-01-14 10:02:19.000,London-Concrete--41223065,London-Concrete,RX18HLD,OCO,2025-01-14T10:02:09.613Z,8,WP17 OLD OAK COMMON LANE - NORTH ACTON,F5,,,600,550,650
